Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,01:54:12.694,Pigeon,LG,5.397s,90,22,0.244,132,540,0.244,false
2,01:54:17.648,Pigeon,LG,4.174s,75,17,0.227,102,450,0.227,false
3,01:54:20.715,Pigeon,LG,2.543s,48,17,0.354,102,288,0.354,false
4,01:54:22.711,Pigeon,LG,1.134s,22,17,0.773,102,132,0.773,false
5,01:54:25.803,Pigeon,LG,2.596s,49,17,0.347,102,294,0.347,false
6,01:54:30.970,Pigeon,LG,4.597s,86,12,0.14,72,516,0.14,false
7,01:54:33.557,Pigeon,LG,2.056s,39,17,0.436,102,234,0.436,false
8,01:54:37.508,Pigeon,LG,3.515s,66,17,0.258,102,396,0.258,false
9,01:54:39.360,Pigeon,LG,1.558s,25,17,0.68,102,150,0.68,false
10,01:54:42.976,Pigeon,LG,2.919s,55,17,0.309,102,330,0.309,false
11,01:54:46.784,Pigeon,LG,3.138s,59,17,0.288,102,354,0.288,false
12,01:54:48.244,Pigeon,LG,1.026s,20,17,0.85,102,120,0.85,false
13,01:54:51.158,Pigeon,LG,2.543s,48,17,0.354,102,288,0.354,false
14,01:54:55.853,Pigeon,LG,3.463s,65,17,0.262,102,390,0.262,false
15,01:54:58.411,Pigeon,LG,1.84s,35,17,0.486,102,210,0.486,false
16,01:55:06.544,Pigeon,LG,7.73s,134,34,0.254,204,804,0.254,false
17,01:55:07.231,Pigeon,LG,0.051s,2,1,0.5,6,12,0.5,false
18,01:55:11.277,Pigeon,LG,2.921s,55,17,0.309,102,330,0.309,false
19,01:55:15.641,Pigeon,LG,3.571s,67,17,0.254,102,402,0.254,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1052,327,1962.0,6312.0,

Kills:,19
Deaths:,0
Fight Time:,56.771999
Avg TTK:,0
Damage Done:,1962.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,19.0
Scenario:,Bounce 180 Tracking (health100)
Hash:,8b56f02fa78e9ce26535c600237d5c2d
Game Version:,v2.6.3
Challenge Start:,01:54:06.272
Pause Count:,7
Pause Duration:,112

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,6.5
Vert Sens:,6.5
DPI:,400
FOV:,120.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,358.726746
Resolution Scale,100.0
