Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,02:35:26.438,Quaker Bot Long Strafes,dps,1.897s,39,20,0.513,340,1326,0.256,false
2,02:35:27.412,Quaker Bot Long Strafes,dps,0.72s,10,9,0.9,153,340,0.45,false
3,02:35:29.461,Quaker Bot Long Strafes,dps,1.647s,34,18,0.529,306,1156,0.265,false
4,02:35:31.203,Quaker Bot Long Strafes,dps,1.198s,25,20,0.8,340,850,0.4,false
5,02:35:31.402,Quaker Bot Long Strafes,dps,0.102s,3,3,1,51,102,0.5,false
6,02:35:34.394,Quaker Bot Long Strafes,dps,2.889s,55,20,0.364,340,1870,0.182,false
7,02:35:36.046,Quaker Bot Long Strafes,dps,1.405s,28,12,0.429,204,952,0.214,false
8,02:35:37.247,Quaker Bot Long Strafes,dps,0.847s,18,9,0.5,153,612,0.25,false
9,02:35:42.175,Quaker Bot Long Strafes,dps,4.075s,82,31,0.378,527,2788,0.189,false
10,02:35:44.195,Quaker Bot Long Strafes,dps,1.596s,33,22,0.667,374,1122,0.333,false
11,02:35:46.761,Quaker Bot Long Strafes,dps,2.512s,36,18,0.5,323,1224,0.264,false
12,02:35:50.185,Quaker Bot Long Strafes,dps,3.178s,59,33,0.559,561,2006,0.28,false
13,02:35:50.848,Quaker Bot Long Strafes,dps,0.561s,10,9,0.9,153,340,0.45,false
14,02:35:52.124,Quaker Bot Long Strafes,dps,1.031s,20,10,0.5,170,680,0.25,false
15,02:35:53.010,Quaker Bot Long Strafes,dps,0.496s,11,10,0.909,170,374,0.455,false
16,02:35:55.394,Quaker Bot Long Strafes,dps,2.163s,39,19,0.487,323,1326,0.244,false
17,02:36:05.700,Quaker Bot Long Strafes,dps,9.878s,184,65,0.353,1105,6256,0.177,false
18,02:36:08.312,Quaker Bot Long Strafes,dps,2.148s,44,20,0.455,340,1496,0.227,false
19,02:36:10.005,Quaker Bot Long Strafes,dps,1.439s,27,16,0.593,272,918,0.296,false
20,02:36:11.473,Quaker Bot Long Strafes,dps,0.647s,14,9,0.643,153,476,0.321,false
21,02:36:13.227,Quaker Bot Long Strafes,dps,1.346s,28,10,0.357,170,952,0.179,false
22,02:36:16.873,Quaker Bot Long Strafes,dps,3.395s,66,36,0.545,612,2244,0.273,false
23,02:36:18.272,Quaker Bot Long Strafes,dps,1.101s,23,13,0.565,221,782,0.283,false
24,02:36:21.757,Quaker Bot Long Strafes,dps,3.185s,63,26,0.413,442,2142,0.206,false
25,02:36:23.638,Quaker Bot Long Strafes,dps,1.399s,29,14,0.483,238,986,0.241,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
dps,981,473,8058.0,33354.0,

Kills:,25
Deaths:,0
Fight Time:,50.855
Avg TTK:,0
Damage Done:,8058.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,29029.0
Scenario:,180 Regen Warzone
Hash:,fcd51178d9b8e4293e2913bdd0796cd3
Game Version:,2.0.5.3
Challenge Start:,02:35:23.812
Pause Count:,6
Pause Duration:,15

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.5
Vert Sens:,7.5
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,251.383133
Resolution Scale,100.0
