Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,02:12:58.072,target_decay,pistol,15.012s,18,1,0.056,25,900,0.028,false
2,02:13:03.527,target_decay,pistol,4.598s,6,1,0.167,25,300,0.083,false
3,02:13:08.040,target_decay,pistol,3.621s,4,1,0.25,25,200,0.125,false
4,02:13:08.779,target_decay,pistol,0s,1,1,1,25,50,0.5,false
5,02:13:10.541,target_decay,pistol,0.875s,2,1,0.5,25,100,0.25,false
6,02:13:19.448,target_decay,pistol,7.767s,9,1,0.111,25,450,0.056,false
7,02:13:32.078,target_decay,pistol,10.94s,14,1,0.071,25,700,0.036,false
8,02:13:41.134,target_decay,pistol,8.17s,9,1,0.111,25,450,0.056,false
9,02:13:42.002,target_decay,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,64,9,225.0,3200.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,9
Deaths:,0
Fight Time:,50.983002
Avg TTK:,0
Damage Done:,225.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,126.5625
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,02:12:42.193
Pause Count:,10
Pause Duration:,56

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.0
Vert Sens:,7.0
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,222.640717
Resolution Scale,100.0
