Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,02:18:48.154,target_decay,pistol,0.819s,2,1,0.5,25,100,0.25,false
2,02:18:52.705,target_decay,pistol,3.717s,4,1,0.25,25,200,0.125,false
3,02:18:53.514,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
4,02:19:03.267,target_decay,pistol,8.972s,11,1,0.091,25,550,0.045,false
5,02:19:08.510,target_decay,pistol,4.321s,4,1,0.25,25,200,0.125,false
6,02:19:10.168,target_decay,pistol,0s,1,1,1,25,50,0.5,false
7,02:19:11.023,target_decay,pistol,0s,1,1,1,25,50,0.5,false
8,02:19:11.821,target_decay,pistol,0s,1,1,1,25,50,0.5,false
9,02:19:13.455,target_decay,pistol,0.866s,2,1,0.5,25,100,0.25,false
10,02:19:14.242,target_decay,pistol,0s,1,1,1,25,50,0.5,false
11,02:19:20.420,target_decay,pistol,4.554s,6,1,0.167,25,300,0.083,false
12,02:19:22.097,target_decay,pistol,0.766s,2,1,0.5,25,100,0.25,false
13,02:19:27.357,target_decay,pistol,4.25s,6,1,0.167,25,300,0.083,false
14,02:19:29.888,target_decay,pistol,1.734s,3,1,0.333,25,150,0.167,false
15,02:19:31.536,target_decay,pistol,0.809s,2,1,0.5,25,100,0.25,false
16,02:19:41.371,target_decay,pistol,8.231s,10,1,0.1,25,500,0.05,false
17,02:19:44.004,target_decay,pistol,1.904s,4,1,0.25,25,200,0.125,false
18,02:19:45.836,target_decay,pistol,0.988s,2,1,0.5,25,100,0.25,false
19,02:19:46.657,target_decay,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,64,19,475.0,3200.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,19
Deaths:,0
Fight Time:,41.931999
Avg TTK:,0
Damage Done:,475.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,564.0625
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,02:18:46.682
Pause Count:,9
Pause Duration:,23

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.5
Vert Sens:,7.5
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,200.909424
Resolution Scale,100.0
