Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,02:29:58.133,target_decay,pistol,0s,1,1,1,25,50,0.5,false
2,02:29:59.832,target_decay,pistol,0.757s,2,1,0.5,25,100,0.25,false
3,02:30:00.645,target_decay,pistol,0s,1,1,1,25,50,0.5,false
4,02:30:01.460,target_decay,pistol,0s,1,1,1,25,50,0.5,false
5,02:30:02.218,target_decay,pistol,0s,1,1,1,25,50,0.5,false
6,02:30:06.573,target_decay,pistol,3.521s,5,1,0.2,25,250,0.1,false
7,02:30:07.429,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
8,02:30:08.213,target_decay,pistol,0s,1,1,1,25,50,0.5,false
9,02:30:09.025,target_decay,pistol,0s,1,1,1,25,50,0.5,false
10,02:30:10.683,target_decay,pistol,0.889s,2,1,0.5,25,100,0.25,false
11,02:30:11.474,target_decay,pistol,0s,1,1,1,25,50,0.5,false
12,02:30:13.210,target_decay,pistol,0.905s,2,1,0.5,25,100,0.25,false
13,02:30:15.025,target_decay,pistol,1.017s,2,1,0.5,25,100,0.25,false
14,02:30:17.587,target_decay,pistol,1.716s,3,1,0.333,25,150,0.167,false
15,02:30:18.409,target_decay,pistol,0s,1,1,1,25,50,0.5,false
16,02:30:19.230,target_decay,pistol,0s,1,1,1,25,50,0.5,false
17,02:30:24.643,target_decay,pistol,4.577s,6,1,0.167,25,300,0.083,false
18,02:30:25.437,target_decay,pistol,0s,1,1,1,25,50,0.5,false
19,02:30:27.219,target_decay,pistol,0.959s,2,1,0.5,25,100,0.25,false
20,02:30:30.754,target_decay,pistol,2.755s,4,1,0.25,25,200,0.125,false
21,02:30:31.549,target_decay,pistol,0s,1,1,1,25,50,0.5,false
22,02:30:34.230,target_decay,pistol,1.843s,3,1,0.333,25,150,0.167,false
23,02:30:35.940,target_decay,pistol,0.893s,2,1,0.5,25,100,0.25,false
24,02:30:37.711,target_decay,pistol,0.892s,2,1,0.5,25,100,0.25,false
25,02:30:39.425,target_decay,pistol,0.877s,2,1,0.5,25,100,0.25,false
26,02:30:41.929,target_decay,pistol,1.508s,3,1,0.333,25,150,0.167,false
27,02:30:48.103,target_decay,pistol,5.326s,7,1,0.143,25,350,0.071,false
28,02:30:51.626,target_decay,pistol,2.688s,4,1,0.25,25,200,0.125,false
29,02:30:53.321,target_decay,pistol,0.846s,2,1,0.5,25,100,0.25,false
30,02:30:55.977,target_decay,pistol,1.832s,4,1,0.25,25,200,0.125,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,70,30,750.0,3500.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,30
Deaths:,0
Fight Time:,33.802002
Avg TTK:,0
Damage Done:,750.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,1285.714355
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,v2.6.3
Challenge Start:,02:29:57.322
Pause Count:,19
Pause Duration:,755

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.0
Vert Sens:,7.0
DPI:,400
FOV:,120.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,296.247864
Resolution Scale,100.0
