Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:44:19.071,target_decay,pistol,8.014s,10,1,0.1,25,500,0.05,false
2,20:44:29.783,target_decay,pistol,9.949s,12,1,0.083,25,600,0.042,false
3,20:44:35.090,target_decay,pistol,4.422s,5,1,0.2,25,250,0.1,false
4,20:44:50.454,target_decay,pistol,12.743s,13,1,0.077,25,650,0.038,false
5,20:44:51.246,target_decay,pistol,0s,1,1,1,25,50,0.5,false
6,20:44:52.920,target_decay,pistol,0.881s,2,1,0.5,25,100,0.25,false
7,20:44:57.267,target_decay,pistol,3.549s,5,1,0.2,25,250,0.1,false
8,20:45:00.667,target_decay,pistol,2.616s,4,1,0.25,25,200,0.125,false
9,20:45:07.660,target_decay,pistol,6.176s,8,1,0.125,25,400,0.062,false
10,20:45:09.316,target_decay,pistol,0.863s,2,1,0.5,25,100,0.25,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,63,10,250.0,3150.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,10
Deaths:,0
Fight Time:,49.213001
Avg TTK:,0
Damage Done:,250.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,158.730164
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,20:44:10.455
Pause Count:,24
Pause Duration:,615

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.5
Vert Sens:,7.5
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,223.114059
Resolution Scale,100.0
