Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:16:06.083,Sprinting Quaker Bot Long Strafes,M4,0.934s,27,14,0.519,256.2,499.8,0.513,false
2,15:16:08.368,Quaker Bot Long Strafes,M4,1.734s,39,15,0.385,268.8,714,0.376,false
3,15:16:12.161,Sprinting Quaker Bot Long Strafes,M4,3.087s,59,11,0.186,260.4,1071,0.243,false
4,15:17:59.957,Sprinting Quaker Bot Long Strafes,M4,31.662s,89,14,0.157,455.7,1606.499,0.284,false
5,15:18:02.667,Quaker Bot Long Strafes,M4,2.579s,25,3,0.12,107.1,464.1,0.231,false
6,15:18:04.967,Sprinting Quaker Bot Long Strafes,M4,2.059s,39,10,0.256,298.2,714,0.418,false
7,15:18:06.693,Sprinting Quaker Bot Long Strafes,M4,0.933s,27,10,0.37,268.8,499.8,0.538,false
8,15:18:09.041,Quaker Bot Long Strafes,M4,1.51s,43,10,0.233,283.5,785.4,0.361,false
9,15:18:13.815,Sprinting Quaker Bot Long Strafes,M4,4.17s,89,8,0.09,241.5,1606.499,0.15,false
10,15:18:15.637,Sprinting Quaker Bot Long Strafes,M4,1.15s,33,12,0.364,268.8,606.9,0.443,false
11,15:18:18.074,Sprinting Quaker Bot Long Strafes,M4,1.508s,43,12,0.279,252,785.4,0.321,false
12,15:18:20.349,Quaker Bot Long Strafes,M4,1.366s,39,14,0.359,338.1,714,0.474,false
13,15:18:21.712,Quaker Bot Long Strafes,M4,0.935s,27,9,0.333,189,499.8,0.378,false
14,15:18:23.249,Quaker Bot Long Strafes,M4,0.791s,23,9,0.391,262.5,428.4,0.613,false
15,15:18:25.549,Sprinting Quaker Bot Long Strafes,M4,1.509s,43,15,0.349,262.5,785.4,0.334,false
16,15:18:27.313,Sprinting Quaker Bot Long Strafes,M4,1.079s,31,20,0.645,252,571.2,0.441,false
17,15:18:28.740,Sprinting Quaker Bot Long Strafes,M4,1.007s,29,13,0.448,266.7,535.5,0.498,false
18,15:18:30.238,Sprinting Quaker Bot Long Strafes,M4,1.08s,31,23,0.742,266.7,571.2,0.467,false
19,15:18:32.031,Quaker Bot Long Strafes,M4,1.293s,37,11,0.297,275.1,678.3,0.406,false
20,15:18:34.037,Sprinting Quaker Bot Long Strafes,M4,1.534s,43,9,0.209,262.5,785.4,0.334,false
21,15:18:35.638,Quaker Bot Long Strafes,M4,1.222s,35,8,0.229,256.2,642.6,0.399,false
22,15:18:37.038,Sprinting Quaker Bot Long Strafes,M4,0.573s,17,9,0.529,277.2,321.3,0.863,false
23,15:18:38.772,Quaker Bot Long Strafes,M4,1.292s,37,10,0.27,254.1,678.3,0.375,false
24,15:18:42.451,Sprinting Quaker Bot Long Strafes,M4,3.23s,63,24,0.381,252,1142.4,0.221,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
M4,990,300,6552.00293,18099.925781,

Kills:,24
Deaths:,0
Fight Time:,68.237
Avg TTK:,0
Damage Done:,6552.00293
Damage Taken:,0.0
Midairs:,16
Midaired:,0
Directs:,51
Directed:,0
Reloads:,4
Distance Traveled:,0.0
Score:,6672.00293
Scenario:,Modern Warfare Warzone PatTargetSwitch
Hash:,d3a91077f6334f8ed1fddf2ab02699e4
Game Version:,v2.6.3
Challenge Start:,15:17:55.496
Pause Count:,3
Pause Duration:,232

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,6.9
Vert Sens:,6.9
DPI:,400
FOV:,120.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,266.93158
Resolution Scale,100.0
