Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:49:55.535,target_decay,pistol,0.844s,2,1,0.5,25,100,0.25,false
2,20:49:59.328,target_decay,pistol,3.055s,4,1,0.25,25,200,0.125,false
3,20:50:04.648,target_decay,pistol,4.576s,6,1,0.167,25,300,0.083,false
4,20:50:06.302,target_decay,pistol,0.858s,2,1,0.5,25,100,0.25,false
5,20:50:09.017,target_decay,pistol,1.935s,4,1,0.25,25,200,0.125,false
6,20:50:12.577,target_decay,pistol,2.796s,4,1,0.25,25,200,0.125,false
7,20:50:19.645,target_decay,pistol,6.246s,8,1,0.125,25,400,0.062,false
8,20:50:23.083,target_decay,pistol,2.447s,4,1,0.25,25,200,0.125,false
9,20:50:23.837,target_decay,pistol,0s,1,1,1,25,50,0.5,false
10,20:50:32.757,target_decay,pistol,8.043s,10,1,0.1,25,500,0.05,false
11,20:50:33.546,target_decay,pistol,0s,1,1,1,25,50,0.5,false
12,20:50:36.132,target_decay,pistol,1.813s,3,1,0.333,25,150,0.167,false
13,20:50:45.933,target_decay,pistol,8.933s,10,1,0.1,25,500,0.05,false
14,20:50:48.603,target_decay,pistol,1.878s,3,1,0.333,25,150,0.167,false
15,20:50:53.016,target_decay,pistol,3.54s,5,1,0.2,25,250,0.1,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,68,15,375.0,3400.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,15
Deaths:,0
Fight Time:,46.964001
Avg TTK:,0
Damage Done:,375.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,330.882355
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,20:49:54.070
Pause Count:,31
Pause Duration:,714

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.5
Vert Sens:,7.5
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,223.544632
Resolution Scale,100.0
