Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:23:49.486,target_decay,pistol,5.173s,6,1,0.167,25,300,0.083,false
2,22:23:50.248,target_decay,pistol,0s,1,1,1,25,50,0.5,false
3,22:23:51.891,target_decay,pistol,0.767s,2,1,0.5,25,100,0.25,false
4,22:23:55.366,target_decay,pistol,2.673s,4,1,0.25,25,200,0.125,false
5,22:23:59.648,target_decay,pistol,3.478s,5,1,0.2,25,250,0.1,false
6,22:24:04.972,target_decay,pistol,4.439s,8,1,0.125,25,400,0.062,false
7,22:24:05.759,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
8,22:24:08.293,target_decay,pistol,1.742s,3,1,0.333,25,150,0.167,false
9,22:24:19.168,target_decay,pistol,10.045s,12,1,0.083,25,600,0.042,false
10,22:24:22.631,target_decay,pistol,2.387s,4,1,0.25,25,200,0.125,false
11,22:24:24.282,target_decay,pistol,0.845s,2,1,0.5,25,100,0.25,false
12,22:24:29.538,target_decay,pistol,4.441s,6,1,0.167,25,300,0.083,false
13,22:24:33.013,target_decay,pistol,2.712s,4,1,0.25,25,200,0.125,false
14,22:24:34.885,target_decay,pistol,1.054s,2,1,0.5,25,100,0.25,false
15,22:24:35.686,target_decay,pistol,0s,1,1,1,25,50,0.5,false
16,22:24:36.390,target_decay,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,70,16,400.0,3500.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,16
Deaths:,0
Fight Time:,39.757
Avg TTK:,0
Damage Done:,400.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,365.714294
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,v2.6.1
Challenge Start:,22:23:43.549
Pause Count:,8
Pause Duration:,26

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.6
Vert Sens:,7.6
DPI:,400
FOV:,100.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,292.30835
Resolution Scale,100.0
