Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,10:43:03.928,target_decay,pistol,0s,1,1,1,25,50,0.5,false
2,10:43:08.358,target_decay,pistol,2.718s,3,1,0.333,25,150,0.167,false
3,10:43:12.724,target_decay,pistol,3.556s,5,1,0.2,25,250,0.1,false
4,10:43:14.359,target_decay,pistol,0.795s,2,1,0.5,25,100,0.25,false
5,10:43:16.007,target_decay,pistol,0.822s,2,1,0.5,25,100,0.25,false
6,10:43:16.786,target_decay,pistol,0s,1,1,1,25,50,0.5,false
7,10:43:19.373,target_decay,pistol,0.806s,2,1,0.5,25,100,0.25,false
8,10:43:20.085,target_decay,pistol,0s,1,1,1,25,50,0.5,false
9,10:43:28.967,target_decay,pistol,8.074s,9,1,0.111,25,450,0.056,false
10,10:43:36.971,target_decay,pistol,7.195s,9,1,0.111,25,450,0.056,false
11,10:43:51.577,target_decay,pistol,13.786s,14,1,0.071,25,700,0.036,false
12,10:43:57.807,target_decay,pistol,4.84s,7,1,0.143,25,350,0.071,false
13,10:43:58.571,target_decay,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,60,13,325.0,3000.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,13
Deaths:,0
Fight Time:,42.591999
Avg TTK:,0
Damage Done:,325.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,281.666656
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,10:43:02.467
Pause Count:,22
Pause Duration:,216

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.4
Vert Sens:,7.4
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,220.133652
Resolution Scale,100.0
