Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,10:09:14.704,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
2,10:09:16.136,test,pistol,0.692000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0
3,10:09:16.644,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
4,10:09:17.340,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
5,10:09:18.131,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
6,10:09:18.822,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
7,10:09:19.395,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
8,10:09:22.482,test,pistol,2.722000s,4,1,0.250000,1000.000000,8000.000000,0.125000,0
9,10:09:23.123,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
10,10:09:26.072,test,pistol,2.230000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0
11,10:09:27.280,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
12,10:09:29.309,test,pistol,1.554000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0
13,10:09:31.297,test,pistol,0.638000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0
14,10:09:32.279,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
15,10:09:32.794,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
16,10:09:33.702,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
17,10:09:34.237,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
18,10:09:35.287,test,pistol,0.490000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0
19,10:09:36.015,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0
20,10:09:37.343,test,pistol,0.736000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0
21,10:09:37.745,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,35,21,21000.0,70000.0,,,,,,false,plus.png,1.0,0FF0FF000,,,
Track Master 100,0,0,0.0,0.0,

Kills:,21
Deaths:,0
Fight Time:,9.062
Avg TTK:,1.856169
Damage Done:,21000.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,2
Distance Traveled:,0.0
Score:,0.0
Scenario:,1wall5targets_pasu Reload
Hash:,a4c66d1aa3d13aee44477f647297d23b
Game Version:,3.0.3
Challenge Start:,H:M:S.s
Pause Count:,12
Pause Duration:,0.0

Input Lag:,0
Max FPS (config):,360.0
Sens Scale:,Apex Legends
Sens Increment:,0.722857
Horiz Sens:,2.3
Vert Sens:,2.3
DPI:,400
FOV:,110.0
FOVScale:,Apex Legends
Hide Gun:,false
Crosshair:,diamond.png
Crosshair Scale:,1.2
Crosshair Color:,0FF0FF000
Resolution:,1920x1080
Avg FPS:,271.630859
Resolution Scale:,100.0
