Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,02:28:55.938,target_decay,pistol,1.584s,3,1,0.333,25,150,0.167,false
2,02:28:56.764,target_decay,pistol,0s,1,1,1,25,50,0.5,false
3,02:28:57.623,target_decay,pistol,0s,1,1,1,25,50,0.5,false
4,02:28:59.285,target_decay,pistol,0.788s,2,1,0.5,25,100,0.25,false
5,02:29:00.915,target_decay,pistol,0.843s,2,1,0.5,25,100,0.25,false
6,02:29:01.728,target_decay,pistol,0s,1,1,1,25,50,0.5,false
7,02:29:02.593,target_decay,pistol,0s,1,1,1,25,50,0.5,false
8,02:29:03.367,target_decay,pistol,0s,1,1,1,25,50,0.5,false
9,02:29:11.398,target_decay,pistol,7.08s,9,1,0.111,25,450,0.056,false
10,02:29:13.101,target_decay,pistol,0.863s,2,1,0.5,25,100,0.25,false
11,02:29:13.954,target_decay,pistol,0s,1,1,1,25,50,0.5,false
12,02:29:15.679,target_decay,pistol,0.936s,2,1,0.5,25,100,0.25,false
13,02:29:16.479,target_decay,pistol,0s,1,1,1,25,50,0.5,false
14,02:29:17.326,target_decay,pistol,0s,1,1,1,25,50,0.5,false
15,02:29:18.126,target_decay,pistol,0s,1,1,1,25,50,0.5,false
16,02:29:19.723,target_decay,pistol,0.791s,2,1,0.5,25,100,0.25,false
17,02:29:20.475,target_decay,pistol,0s,1,1,1,25,50,0.5,false
18,02:29:21.286,target_decay,pistol,0s,1,1,1,25,50,0.5,false
19,02:29:22.089,target_decay,pistol,0s,1,1,1,25,50,0.5,false
20,02:29:23.815,target_decay,pistol,0.913s,2,1,0.5,25,100,0.25,false
21,02:29:28.211,target_decay,pistol,3.611s,5,1,0.2,25,250,0.1,false
22,02:29:29.044,target_decay,pistol,0s,1,1,1,25,50,0.5,false
23,02:29:29.872,target_decay,pistol,0s,1,1,1,25,50,0.5,false
24,02:29:33.420,target_decay,pistol,2.706s,5,1,0.2,25,250,0.1,false
25,02:29:34.309,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
26,02:29:37.830,target_decay,pistol,2.628s,4,1,0.25,25,200,0.125,false
27,02:29:38.612,target_decay,pistol,0s,1,1,1,25,50,0.5,false
28,02:29:43.003,target_decay,pistol,3.56s,5,1,0.2,25,250,0.1,false
29,02:29:43.840,target_decay,pistol,0s,1,1,1,25,50,0.5,false
30,02:29:44.619,target_decay,pistol,0s,1,1,1,25,50,0.5,false
31,02:29:47.175,target_decay,pistol,1.694s,3,1,0.333,25,150,0.167,false
32,02:29:47.969,target_decay,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,70,32,800.0,3500.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,32
Deaths:,0
Fight Time:,27.997999
Avg TTK:,0
Damage Done:,800.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,1462.857178
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,v2.6.3
Challenge Start:,02:28:52.723
Pause Count:,18
Pause Duration:,754

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.0
Vert Sens:,7.0
DPI:,400
FOV:,120.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,296.793335
Resolution Scale,100.0
