Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,01:43:42.871,target_decay,pistol,1.811s,3,1,0.333,25,150,0.167,false
2,01:43:43.767,target_decay,pistol,0s,1,1,1,25,50,0.5,false
3,01:43:45.399,target_decay,pistol,0.764s,2,1,0.5,25,100,0.25,false
4,01:43:47.009,target_decay,pistol,0.856s,2,1,0.5,25,100,0.25,false
5,01:43:52.208,target_decay,pistol,4.471s,6,1,0.167,25,300,0.083,false
6,01:43:52.942,target_decay,pistol,0s,1,1,1,25,50,0.5,false
7,01:43:54.625,target_decay,pistol,0.902s,2,1,0.5,25,100,0.25,false
8,01:44:05.446,target_decay,pistol,10.022s,11,1,0.091,25,550,0.045,false
9,01:44:10.715,target_decay,pistol,4.455s,6,1,0.167,25,300,0.083,false
10,01:44:11.415,target_decay,pistol,0s,1,1,1,25,50,0.5,false
11,01:44:12.981,target_decay,pistol,0.853s,2,1,0.5,25,100,0.25,false
12,01:44:13.768,target_decay,pistol,0s,1,1,1,25,50,0.5,false
13,01:44:15.382,target_decay,pistol,0.74s,2,1,0.5,25,100,0.25,false
14,01:44:16.899,target_decay,pistol,0.736s,2,1,0.5,25,100,0.25,false
15,01:44:17.710,target_decay,pistol,0s,1,1,1,25,50,0.5,false
16,01:44:23.871,target_decay,pistol,5.332s,7,1,0.143,25,350,0.071,false
17,01:44:26.394,target_decay,pistol,1.77s,3,1,0.333,25,150,0.167,false
18,01:44:28.091,target_decay,pistol,0.92s,2,1,0.5,25,100,0.25,false
19,01:44:35.287,target_decay,pistol,6.389s,8,1,0.125,25,400,0.062,false
20,01:44:36.958,target_decay,pistol,0.776s,2,1,0.5,25,100,0.25,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,68,20,500.0,3400.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,20
Deaths:,0
Fight Time:,40.797001
Avg TTK:,0
Damage Done:,500.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,588.235291
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,01:43:40.520
Pause Count:,21
Pause Duration:,409

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.5
Vert Sens:,7.5
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,221.894058
Resolution Scale,100.0
