Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,02:13:48.270,target_decay,pistol,1.673s,3,1,0.333,25,150,0.167,false
2,02:13:50.023,target_decay,pistol,0.921s,2,1,0.5,25,100,0.25,false
3,02:13:50.798,target_decay,pistol,0s,1,1,1,25,50,0.5,false
4,02:13:51.648,target_decay,pistol,0s,1,1,1,25,50,0.5,false
5,02:13:54.159,target_decay,pistol,1.723s,4,1,0.25,25,200,0.125,false
6,02:13:54.927,target_decay,pistol,0s,1,1,1,25,50,0.5,false
7,02:13:55.732,target_decay,pistol,0s,1,1,1,25,50,0.5,false
8,02:13:58.315,target_decay,pistol,1.791s,3,1,0.333,25,150,0.167,false
9,02:13:59.141,target_decay,pistol,0s,1,1,1,25,50,0.5,false
10,02:14:05.448,target_decay,pistol,5.495s,7,1,0.143,25,350,0.071,false
11,02:14:14.402,target_decay,pistol,8.142s,9,1,0.111,25,450,0.056,false
12,02:14:19.674,target_decay,pistol,4.424s,6,1,0.167,25,300,0.083,false
13,02:14:20.484,target_decay,pistol,0s,1,1,1,25,50,0.5,false
14,02:14:22.127,target_decay,pistol,0.828s,2,1,0.5,25,100,0.25,false
15,02:14:25.642,target_decay,pistol,2.672s,4,1,0.25,25,200,0.125,false
16,02:14:32.666,target_decay,pistol,6.141s,8,1,0.125,25,400,0.062,false
17,02:14:36.090,target_decay,pistol,2.667s,4,1,0.25,25,200,0.125,false
18,02:14:36.808,target_decay,pistol,0s,1,1,1,25,50,0.5,false
19,02:14:37.513,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
20,02:14:40.153,target_decay,pistol,1.779s,4,1,0.25,25,200,0.125,false
21,02:14:42.902,target_decay,pistol,1.997s,3,1,0.333,25,150,0.167,false
22,02:14:43.684,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
23,02:14:44.443,target_decay,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,69,23,575.0,3450.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,23
Deaths:,0
Fight Time:,40.255001
Avg TTK:,0
Damage Done:,575.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,766.666687
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,02:13:45.972
Pause Count:,11
Pause Duration:,57

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.0
Vert Sens:,7.0
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,221.918228
Resolution Scale,100.0
