Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:42:56.455,Long Strafe Bot,ADSable Hitscan Cone,2.899s,1605,465,0.29,433,1460,0.297,false
2,20:43:00.348,Long Strafe Bot,ADSable Hitscan Cone,3.638s,1242,474,0.382,434,1130,0.384,false
3,20:43:03.497,Long Strafe Bot,ADSable Hitscan Cone,2.893s,1462,473,0.324,440,1330,0.331,false
4,20:43:06.243,Long Strafe Bot,ADSable Hitscan Cone,2.507s,1099,475,0.432,434,1000,0.434,false
5,20:43:08.892,Long Strafe Bot,ADSable Hitscan Cone,1.854s,1033,469,0.454,433,940,0.461,false
6,20:43:10.647,Long Strafe Bot,ADSable Hitscan Cone,1.501s,692,480,0.694,435,630,0.69,false
7,20:43:13.397,Long Strafe Bot,ADSable Hitscan Cone,1.919s,1066,454,0.426,434,970,0.447,false
8,20:43:18.358,Long Strafe Bot,ADSable Hitscan Cone,4.711s,2474,950,0.384,870,2250,0.387,false
9,20:43:18.542,Long Strafe Bot,ADSable Hitscan Cone,0s,8,3,0.375,3,8,0.375,false
10,20:43:22.264,Long Strafe Bot,ADSable Hitscan Cone,3.493s,1275,487,0.382,441,1160,0.38,false
11,20:43:25.631,Long Strafe Bot,ADSable Hitscan Cone,2.903s,1561,470,0.301,433,1420,0.305,false
12,20:43:28.681,Long Strafe Bot,ADSable Hitscan Cone,2.79s,1506,462,0.307,435,1370,0.318,false
13,20:43:31.658,Long Strafe Bot,ADSable Hitscan Cone,2.719s,1187,471,0.397,434,1080,0.402,false
14,20:43:34.330,Long Strafe Bot,ADSable Hitscan Cone,2.018s,1121,479,0.427,437,1020,0.428,false
15,20:43:36.675,Long Strafe Bot,ADSable Hitscan Cone,2.089s,923,469,0.508,435,840,0.518,false
16,20:43:40.852,Long Strafe Bot,ADSable Hitscan Cone,3.925s,1858,473,0.255,436,1690,0.258,false
17,20:43:43.817,Long Strafe Bot,ADSable Hitscan Cone,2.177s,1209,435,0.36,435,1100,0.395,false
18,20:43:47.459,Long Strafe Bot,ADSable Hitscan Cone,3.39s,1792,489,0.273,440,1630,0.27,false
19,20:43:50.934,Long Strafe Bot,ADSable Hitscan Cone,3.219s,1462,463,0.317,433,1330,0.326,false
20,20:43:55.241,Long Strafe Bot,ADSable Hitscan Cone,4.045s,1924,468,0.243,437,1750,0.25,false
21,20:43:57.765,Long Strafe Bot,ADSable Hitscan Cone,2.261s,1099,472,0.429,439,1000,0.439,false
22,20:44:03.556,Long Strafe Bot,ADSable Hitscan Cone,5.528s,2232,735,0.329,679,2030,0.334,false
23,20:44:04.680,Long Strafe Bot,ADSable Hitscan Cone,0.855s,483,206,0.427,195,440,0.443,false
24,20:44:08.124,Long Strafe Bot,ADSable Hitscan Cone,3.189s,1187,466,0.393,438,1080,0.406,false
25,20:44:12.533,Long Strafe Bot,ADSable Hitscan Cone,4.151s,1968,476,0.242,438,1790,0.245,false
26,20:44:15.376,Long Strafe Bot,ADSable Hitscan Cone,2.568s,1099,469,0.427,438,1000,0.438,false
27,20:44:17.408,Long Strafe Bot,ADSable Hitscan Cone,1.78s,890,471,0.529,438,810,0.541,false
28,20:44:20.736,Long Strafe Bot,ADSable Hitscan Cone,3.066s,1297,475,0.366,436,1180,0.369,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
ADSable Hitscan Cone,37458,13524,12522.0,34078.0,

Kills:,28
Deaths:,0
Fight Time:,78.087997
Avg TTK:,0
Damage Done:,12522.0
Damage Taken:,0.0
Midairs:,273
Midaired:,0
Directs:,1002
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,4601.223145
Scenario:,Ascended Tracking Robots
Hash:,30eb744d26a1edf6e5605136f62e86a6
Game Version:,v2.6.0
Challenge Start:,20:42:52.233
Pause Count:,16
Pause Duration:,121

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.6
Vert Sens:,7.6
DPI:,400
FOV:,100.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,100.028511
Resolution Scale,100.0
