Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:34:55.632,target_decay,pistol,0s,1,1,1,25,50,0.5,false
2,22:34:57.263,target_decay,pistol,0.853s,2,1,0.5,25,100,0.25,false
3,22:34:57.978,target_decay,pistol,0s,1,1,1,25,50,0.5,false
4,22:34:58.654,target_decay,pistol,0s,1,1,1,25,50,0.5,false
5,22:35:04.882,target_decay,pistol,5.485s,8,1,0.125,25,400,0.062,false
6,22:35:05.666,target_decay,pistol,0s,1,1,1,25,50,0.5,false
7,22:35:07.269,target_decay,pistol,0.888s,2,1,0.5,25,100,0.25,false
8,22:35:09.817,target_decay,pistol,1.764s,3,1,0.333,25,150,0.167,false
9,22:35:11.399,target_decay,pistol,0s,1,1,1,25,50,0.5,false
10,22:35:13.912,target_decay,pistol,1.721s,3,1,0.333,25,150,0.167,false
11,22:35:14.668,target_decay,pistol,0s,1,1,1,25,50,0.5,false
12,22:35:15.434,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
13,22:35:24.401,target_decay,pistol,8.135s,10,1,0.1,25,500,0.05,false
14,22:35:26.846,target_decay,pistol,1.625s,3,1,0.333,25,150,0.167,false
15,22:35:30.333,target_decay,pistol,2.743s,4,1,0.25,25,200,0.125,false
16,22:35:32.875,target_decay,pistol,1.689s,3,1,0.333,25,150,0.167,false
17,22:35:33.698,target_decay,pistol,0s,1,1,1,25,50,0.5,false
18,22:35:36.222,target_decay,pistol,1.802s,3,1,0.333,25,150,0.167,false
19,22:35:37.843,target_decay,pistol,0.821s,2,1,0.5,25,100,0.25,false
20,22:35:42.239,target_decay,pistol,3.612s,6,1,0.167,25,300,0.083,false
21,22:35:43.041,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
22,22:35:43.845,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
23,22:35:46.452,target_decay,pistol,1.589s,3,1,0.333,25,150,0.167,false
24,22:35:48.119,target_decay,pistol,0.887s,2,1,0.5,25,100,0.25,false
25,22:35:48.856,target_decay,pistol,0s,1,1,1,25,50,0.5,false
26,22:35:49.579,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
27,22:35:52.142,target_decay,pistol,1.8s,3,1,0.333,25,150,0.167,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,72,27,675.0,3600.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,27
Deaths:,0
Fight Time:,35.417999
Avg TTK:,0
Damage Done:,675.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,1012.5
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,22:34:55.124
Pause Count:,39
Pause Duration:,139

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.5
Vert Sens:,7.5
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,219.975586
Resolution Scale,100.0
