Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:11:13.139,target_decay,pistol,0.697s,2,1,0.5,25,100,0.25,false
2,20:11:21.128,target_decay,pistol,7.269s,7,1,0.143,25,350,0.071,false
3,20:11:26.394,target_decay,pistol,4.503s,5,1,0.2,25,250,0.1,false
4,20:11:28.015,target_decay,pistol,0.856s,2,1,0.5,25,100,0.25,false
5,20:11:35.073,target_decay,pistol,6.251s,8,1,0.125,25,400,0.062,false
6,20:11:47.558,target_decay,pistol,11.694s,14,1,0.071,25,700,0.036,false
7,20:11:50.065,target_decay,pistol,1.781s,4,1,0.25,25,200,0.125,false
8,20:11:50.834,target_decay,pistol,0s,1,1,1,25,50,0.5,false
9,20:11:55.200,target_decay,pistol,3.424s,5,1,0.2,25,250,0.1,false
10,20:11:55.936,target_decay,pistol,0s,1,1,1,25,50,0.5,false
11,20:12:02.060,target_decay,pistol,5.42s,7,1,0.143,25,350,0.071,false
12,20:12:10.086,target_decay,pistol,7.235s,9,1,0.111,25,450,0.056,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,66,12,300.0,3300.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,12
Deaths:,0
Fight Time:,49.130001
Avg TTK:,0
Damage Done:,300.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,218.181824
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,20:11:11.649
Pause Count:,40
Pause Duration:,1194

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.5
Vert Sens:,7.5
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,222.017792
Resolution Scale,100.0
