Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:18:47.906,Sprinting Quaker Bot Long Strafes,M4,1.509s,43,18,0.419,266.7,785.4,0.34,false
2,15:18:49.593,Quaker Bot Long Strafes,M4,1.221s,35,8,0.229,256.2,642.6,0.399,false
3,15:18:51.465,Quaker Bot Long Strafes,M4,1.367s,39,10,0.256,268.8,714,0.376,false
4,15:18:53.510,Quaker Bot Long Strafes,M4,1.292s,37,11,0.297,260.4,678.3,0.384,false
5,15:18:54.877,Sprinting Quaker Bot Long Strafes,M4,0.933s,27,14,0.519,270.9,499.8,0.542,false
6,15:18:56.707,Quaker Bot Long Strafes,M4,1.364s,39,8,0.205,256.2,714,0.359,false
7,15:18:58.012,Quaker Bot Long Strafes,M4,0.791s,23,10,0.435,283.5,428.4,0.662,false
8,15:18:59.614,Sprinting Quaker Bot Long Strafes,M4,1.222s,35,10,0.286,254.1,642.6,0.395,false
9,15:19:01.186,Quaker Bot Long Strafes,M4,1.149s,33,16,0.485,260.4,606.9,0.429,false
10,15:19:02.312,Sprinting Quaker Bot Long Strafes,M4,0.645s,19,11,0.579,285.6,357,0.8,false
11,15:19:03.749,Quaker Bot Long Strafes,M4,0.719s,21,9,0.429,262.5,392.7,0.668,false
12,15:19:05.489,Quaker Bot Long Strafes,M4,1.364s,39,10,0.256,283.5,714,0.397,false
13,15:19:06.948,Quaker Bot Long Strafes,M4,1.007s,29,9,0.31,262.5,535.5,0.49,false
14,15:20:13.208,Quaker Bot Long Strafes,M4,65.6s,83,10,0.12,254.1,1499.4,0.169,false
15,15:20:15.043,Quaker Bot Long Strafes,M4,1.295s,37,9,0.243,262.5,678.3,0.387,false
16,15:20:17.469,Quaker Bot Long Strafes,M4,1.079s,31,10,0.323,254.1,571.2,0.445,false
17,15:20:20.233,Sprinting Quaker Bot Long Strafes,M4,1.724s,49,10,0.204,268.8,892.5,0.301,false
18,15:20:22.227,Quaker Bot Long Strafes,M4,1.222s,35,10,0.286,268.8,642.6,0.418,false
19,15:20:24.244,Sprinting Quaker Bot Long Strafes,M4,1.365s,39,17,0.436,254.1,714,0.356,false
20,15:20:25.526,Quaker Bot Long Strafes,M4,0.934s,27,11,0.407,260.4,499.8,0.521,false
21,15:20:26.976,Quaker Bot Long Strafes,M4,1.004s,29,10,0.345,268.8,535.5,0.502,false
22,15:20:28.571,Quaker Bot Long Strafes,M4,0.861s,25,9,0.36,262.5,464.1,0.566,false
23,15:20:30.508,Quaker Bot Long Strafes,M4,1.221s,35,8,0.229,270.9,642.6,0.422,false
24,15:20:31.973,Quaker Bot Long Strafes,M4,1.077s,31,9,0.29,277.2,571.2,0.485,false
25,15:20:38.002,Sprinting Quaker Bot Long Strafes,M4,5.642s,109,17,0.156,474.6,1963.499,0.242,false
26,15:20:39.185,Quaker Bot Long Strafes,M4,0.432s,13,1,0.077,35.7,249.9,0.143,false
27,15:20:41.278,Sprinting Quaker Bot Long Strafes,M4,1.885s,49,10,0.204,283.5,892.5,0.318,false
28,15:20:42.881,Sprinting Quaker Bot Long Strafes,M4,0.935s,27,10,0.37,283.5,499.8,0.567,false
29,15:20:44.797,Quaker Bot Long Strafes,M4,1.367s,39,9,0.231,262.5,714,0.368,false
30,15:20:47.071,Sprinting Quaker Bot Long Strafes,M4,1.508s,43,19,0.442,275.1,785.4,0.35,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
M4,1120,323,7988.410156,20527.472656,

Kills:,30
Deaths:,0
Fight Time:,103.734001
Avg TTK:,0
Damage Done:,7988.410156
Damage Taken:,0.0
Midairs:,12
Midaired:,0
Directs:,35
Directed:,0
Reloads:,2
Distance Traveled:,385.726776
Score:,8138.410156
Scenario:,Modern Warfare Warzone PatTargetSwitch
Hash:,d3a91077f6334f8ed1fddf2ab02699e4
Game Version:,v2.6.3
Challenge Start:,15:20:11.541
Pause Count:,4
Pause Duration:,294

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,6.9
Vert Sens:,6.9
DPI:,400
FOV:,120.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,260.751831
Resolution Scale,100.0
