Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,00:27:38.629,target_decay,pistol,0s,1,1,1,25,50,0.5,false
2,00:27:41.286,target_decay,pistol,1.669s,4,1,0.25,25,200,0.125,false
3,00:27:43.271,target_decay,pistol,1.065s,2,1,0.5,25,100,0.25,false
4,00:27:44.138,target_decay,pistol,0s,1,1,1,25,50,0.5,false
5,00:27:44.947,target_decay,pistol,0s,1,1,1,25,50,0.5,false
6,00:27:49.307,target_decay,pistol,3.314s,5,1,0.2,25,250,0.1,false
7,00:27:50.085,target_decay,pistol,0s,1,1,1,25,50,0.5,false
8,00:27:50.882,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
9,00:27:57.150,target_decay,pistol,4.556s,6,1,0.167,25,300,0.083,false
10,00:27:59.724,target_decay,pistol,1.754s,4,1,0.25,25,200,0.125,false
11,00:28:03.291,target_decay,pistol,2.703s,2,1,0.5,25,100,0.25,false
12,00:28:04.160,target_decay,pistol,0s,1,1,1,25,50,0.5,false
13,00:28:06.671,target_decay,pistol,1.633s,3,1,0.333,25,150,0.167,false
14,00:28:07.446,target_decay,pistol,0s,1,1,1,25,50,0.5,false
15,00:28:11.834,target_decay,pistol,2.683s,5,1,0.2,25,250,0.1,false
16,00:28:16.175,target_decay,pistol,3.371s,5,1,0.2,25,250,0.1,false
17,00:28:19.646,target_decay,pistol,2.703s,4,1,0.25,25,200,0.125,false
18,00:28:21.303,target_decay,pistol,0.765s,2,1,0.5,25,100,0.25,false
19,00:28:24.779,target_decay,pistol,2.716s,4,1,0.25,25,200,0.125,false
20,00:28:25.522,target_decay,pistol,0s,1,1,1,25,50,0.5,false
21,00:28:26.275,target_decay,pistol,0s,1,1,1,25,50,0.5,false
22,00:28:28.757,target_decay,pistol,1.701s,3,1,0.333,25,150,0.167,false
23,00:28:30.488,target_decay,pistol,0.903s,2,1,0.5,25,100,0.25,false
24,00:28:31.245,target_decay,pistol,0s,1,1,1,25,50,0.5,false
25,00:28:35.687,target_decay,pistol,3.591s,5,1,0.2,25,250,0.1,false
26,00:28:36.414,target_decay,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,68,26,650.0,3400.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,26
Deaths:,0
Fight Time:,35.127998
Avg TTK:,0
Damage Done:,650.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,994.117676
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,v2.6.1
Challenge Start:,00:27:37.793
Pause Count:,6
Pause Duration:,897

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.6
Vert Sens:,7.6
DPI:,400
FOV:,100.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,295.915833
Resolution Scale,100.0
