Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:31:43.247,target_decay,pistol,6.121s,7,1,0.143,25,350,0.071,false
2,22:31:44.910,target_decay,pistol,0.871s,2,1,0.5,25,100,0.25,false
3,22:31:51.056,target_decay,pistol,5.3s,7,1,0.143,25,350,0.071,false
4,22:31:52.788,target_decay,pistol,0.782s,2,1,0.5,25,100,0.25,false
5,22:32:05.220,target_decay,pistol,11.557s,14,1,0.071,25,700,0.036,false
6,22:32:14.184,target_decay,pistol,8.166s,10,1,0.1,25,500,0.05,false
7,22:32:15.940,target_decay,pistol,0.883s,2,1,0.5,25,100,0.25,false
8,22:32:16.662,target_decay,pistol,0s,1,1,1,25,50,0.5,false
9,22:32:20.128,target_decay,pistol,2.622s,3,1,0.333,25,150,0.167,false
10,22:32:26.265,target_decay,pistol,5.225s,7,1,0.143,25,350,0.071,false
11,22:32:28.769,target_decay,pistol,1.532s,3,1,0.333,25,150,0.167,false
12,22:32:34.947,target_decay,pistol,5.431s,6,1,0.167,25,300,0.083,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,65,12,300.0,3250.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,12
Deaths:,0
Fight Time:,48.490002
Avg TTK:,0
Damage Done:,300.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,221.538467
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,22:31:36.446
Pause Count:,36
Pause Duration:,134

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.5
Vert Sens:,7.5
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,222.224121
Resolution Scale,100.0
