Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:02:45.122,Quaker Bot Long Strafes,dps,1.197s,25,14,0.56,459,850,0.54,false
2,22:02:46.468,Quaker Bot Long Strafes,dps,0.897s,19,5,0.263,170,646,0.263,false
3,22:02:47.953,Quaker Bot Long Strafes,dps,1.232s,20,9,0.45,255,680,0.375,false
4,22:02:49.422,Quaker Bot Long Strafes,dps,1.047s,22,7,0.318,238,748,0.318,false
5,22:02:50.722,Quaker Bot Long Strafes,dps,1.001s,19,7,0.368,238,646,0.368,false
6,22:02:54.954,Quaker Bot Long Strafes,dps,3.348s,68,24,0.353,816,2312,0.353,false
7,22:02:56.301,Quaker Bot Long Strafes,dps,0.896s,19,6,0.316,204,646,0.316,false
8,22:02:57.240,Quaker Bot Long Strafes,dps,0.684s,14,6,0.429,204,476,0.429,false
9,22:02:58.991,Quaker Bot Long Strafes,dps,1.454s,30,7,0.233,238,1020,0.233,false
10,22:03:00.585,Quaker Bot Long Strafes,dps,1.295s,24,6,0.25,204,816,0.25,false
11,22:03:01.477,Quaker Bot Long Strafes,dps,0.637s,11,6,0.545,204,374,0.545,false
12,22:03:02.717,Quaker Bot Long Strafes,dps,0.987s,18,6,0.333,204,612,0.333,false
13,22:03:11.866,Quaker Bot Long Strafes,dps,8.71s,165,42,0.255,1428,5610,0.255,false
14,22:03:15.719,Quaker Bot Long Strafes,dps,3.601s,62,15,0.242,510,2108,0.242,false
15,22:03:16.368,Quaker Bot Long Strafes,dps,0.351s,8,5,0.625,170,272,0.625,false
16,22:03:17.968,Quaker Bot Long Strafes,dps,1.345s,23,7,0.304,221,782,0.283,false
17,22:03:18.795,Quaker Bot Long Strafes,dps,0.346s,8,6,0.75,153,272,0.562,false
18,22:03:19.942,Quaker Bot Long Strafes,dps,0.9s,19,8,0.421,272,646,0.421,false
19,22:03:23.338,Quaker Bot Long Strafes,dps,3.34s,65,21,0.323,714,2210,0.323,false
20,22:03:24.980,Quaker Bot Long Strafes,dps,1.541s,30,9,0.3,306,1020,0.3,false
21,22:03:26.623,Quaker Bot Long Strafes,dps,1.394s,27,9,0.333,306,918,0.333,false
22,22:03:33.480,Quaker Bot Long Strafes,dps,6.556s,122,31,0.254,1054,4148,0.254,false
23,22:03:34.857,Quaker Bot Long Strafes,dps,1.08s,22,7,0.318,238,748,0.318,false
24,22:03:36.955,Quaker Bot Long Strafes,dps,1.672s,32,11,0.344,374,1088,0.344,false
25,22:03:40.346,Quaker Bot Long Strafes,dps,3.334s,61,18,0.295,612,2074,0.295,false
26,22:03:41.464,Quaker Bot Long Strafes,dps,0.869s,16,6,0.375,204,544,0.375,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
dps,984,303,10166.0,33456.0,

Kills:,26
Deaths:,0
Fight Time:,49.714001
Avg TTK:,0
Damage Done:,10166.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,31083.0
Scenario:,180 Regen Warzone
Hash:,fcd51178d9b8e4293e2913bdd0796cd3
Game Version:,2.0.5.3
Challenge Start:,22:02:43.309
Pause Count:,7
Pause Duration:,28

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.5
Vert Sens:,7.5
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,247.107956
Resolution Scale,100.0
