Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,01:45:52.484,target_decay,pistol,4.486s,6,1,0.167,25,300,0.083,false
2,01:45:53.290,target_decay,pistol,0s,1,1,1,25,50,0.5,false
3,01:45:54.908,target_decay,pistol,0.714s,2,1,0.5,25,100,0.25,false
4,01:45:57.477,target_decay,pistol,1.699s,3,1,0.333,25,150,0.167,false
5,01:46:00.045,target_decay,pistol,1.727s,4,1,0.25,25,200,0.125,false
6,01:46:00.837,target_decay,pistol,0s,1,1,1,25,50,0.5,false
7,01:46:01.667,target_decay,pistol,0s,1,1,1,25,50,0.5,false
8,01:46:02.461,target_decay,pistol,0s,1,1,1,25,50,0.5,false
9,01:46:04.995,target_decay,pistol,1.679s,3,1,0.333,25,150,0.167,false
10,01:46:07.607,target_decay,pistol,1.813s,3,1,0.333,25,150,0.167,false
11,01:46:08.414,target_decay,pistol,0s,1,1,1,25,50,0.5,false
12,01:46:10.106,target_decay,pistol,0.911s,2,1,0.5,25,100,0.25,false
13,01:46:10.873,target_decay,pistol,0s,1,1,1,25,50,0.5,false
14,01:46:15.264,target_decay,pistol,3.559s,5,1,0.2,25,250,0.1,false
15,01:46:17.867,target_decay,pistol,1.695s,3,1,0.333,25,150,0.167,false
16,01:46:20.387,target_decay,pistol,1.761s,2,1,0.5,25,100,0.25,false
17,01:46:26.634,target_decay,pistol,5.496s,7,1,0.143,25,350,0.071,false
18,01:46:28.350,target_decay,pistol,0.829s,2,1,0.5,25,100,0.25,false
19,01:46:31.854,target_decay,pistol,2.74s,4,1,0.25,25,200,0.125,false
20,01:46:35.383,target_decay,pistol,2.587s,4,1,0.25,25,200,0.125,false
21,01:46:37.036,target_decay,pistol,0.903s,2,1,0.5,25,100,0.25,false
22,01:46:38.770,target_decay,pistol,0.984s,2,1,0.5,25,100,0.25,false
23,01:46:39.529,target_decay,pistol,0s,1,1,1,25,50,0.5,false
24,01:46:44.748,target_decay,pistol,4.372s,6,1,0.167,25,300,0.083,false
25,01:46:45.510,target_decay,pistol,0s,1,1,1,25,50,0.5,false
26,01:46:46.309,target_decay,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,70,26,650.0,3500.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,26
Deaths:,0
Fight Time:,37.955002
Avg TTK:,0
Damage Done:,650.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,965.714294
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,01:45:47.365
Pause Count:,23
Pause Duration:,411

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.5
Vert Sens:,7.5
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,221.256134
Resolution Scale,100.0
