Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,10:42:02.958,target_decay,pistol,5.402s,7,1,0.143,25,350,0.071,false
2,10:42:12.778,target_decay,pistol,8.925s,11,1,0.091,25,550,0.045,false
3,10:42:15.439,target_decay,pistol,0.892s,2,1,0.5,25,100,0.25,false
4,10:42:17.110,target_decay,pistol,0.855s,2,1,0.5,25,100,0.25,false
5,10:42:17.904,target_decay,pistol,0s,1,1,1,25,50,0.5,false
6,10:42:19.635,target_decay,pistol,0.982s,2,1,0.5,25,100,0.25,false
7,10:42:21.335,target_decay,pistol,0.913s,2,1,0.5,25,100,0.25,false
8,10:42:22.201,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
9,10:42:26.590,target_decay,pistol,2.634s,4,1,0.25,25,200,0.125,false
10,10:42:27.333,target_decay,pistol,0s,1,1,1,25,50,0.5,false
11,10:42:28.197,target_decay,pistol,0s,1,1,1,25,50,0.5,false
12,10:42:33.553,target_decay,pistol,4.552s,5,1,0.2,25,250,0.1,false
13,10:42:35.374,target_decay,pistol,0s,1,1,1,25,50,0.5,false
14,10:42:39.872,target_decay,pistol,3.651s,5,1,0.2,25,250,0.1,false
15,10:42:43.451,target_decay,pistol,1.854s,3,1,0.333,25,150,0.167,false
16,10:42:46.113,target_decay,pistol,1.888s,3,1,0.333,25,150,0.167,false
17,10:42:46.898,target_decay,pistol,0s,1,1,1,25,50,0.5,false
18,10:42:50.376,target_decay,pistol,1.78s,3,1,0.333,25,150,0.167,false
19,10:42:54.740,target_decay,pistol,3.543s,5,1,0.2,25,250,0.1,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,62,19,475.0,3100.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,19
Deaths:,0
Fight Time:,37.872002
Avg TTK:,0
Damage Done:,475.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,582.258057
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,10:41:56.953
Pause Count:,21
Pause Duration:,213

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.4
Vert Sens:,7.4
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,219.666824
Resolution Scale,100.0
