Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,10:40:54.294,target_decay,pistol,0s,1,1,1,25,50,0.5,false
2,10:40:55.971,target_decay,pistol,0.892s,2,1,0.5,25,100,0.25,false
3,10:41:00.336,target_decay,pistol,3.468s,4,1,0.25,25,200,0.125,false
4,10:41:03.778,target_decay,pistol,2.552s,4,1,0.25,25,200,0.125,false
5,10:41:04.648,target_decay,pistol,0s,1,1,1,25,50,0.5,false
6,10:41:05.441,target_decay,pistol,0s,1,1,1,25,50,0.5,false
7,10:41:08.931,target_decay,pistol,2.606s,4,1,0.25,25,200,0.125,false
8,10:41:12.435,target_decay,pistol,2.735s,4,1,0.25,25,200,0.125,false
9,10:41:20.500,target_decay,pistol,7.283s,6,1,0.167,25,300,0.083,false
10,10:41:21.296,target_decay,pistol,0s,1,1,1,25,50,0.5,false
11,10:41:22.105,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
12,10:41:26.514,target_decay,pistol,3.601s,5,1,0.2,25,250,0.1,false
13,10:41:33.617,target_decay,pistol,6.287s,8,1,0.125,25,400,0.062,false
14,10:41:34.384,target_decay,pistol,0s,1,1,1,25,50,0.5,false
15,10:41:36.144,target_decay,pistol,0s,1,1,1,25,50,0.5,false
16,10:41:40.589,target_decay,pistol,3.597s,4,1,0.25,25,200,0.125,false
17,10:41:42.240,target_decay,pistol,0.857s,2,1,0.5,25,100,0.25,false
18,10:41:43.031,target_decay,pistol,0.001s,1,1,1,25,50,0.5,false
19,10:41:50.173,target_decay,pistol,6.34s,8,1,0.125,25,400,0.062,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,63,19,475.0,3150.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,19
Deaths:,0
Fight Time:,40.220001
Avg TTK:,0
Damage Done:,475.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,573.015869
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.3
Challenge Start:,10:40:53.798
Pause Count:,20
Pause Duration:,212

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.4
Vert Sens:,7.4
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,220.090729
Resolution Scale,100.0
