Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:39:06.392,target_decay,pistol,2.62s,4,1,0.25,25,200,0.125,false
2,19:39:10.805,target_decay,pistol,3.67s,5,1,0.2,25,250,0.1,false
3,19:39:14.246,target_decay,pistol,2.672s,4,1,0.25,25,200,0.125,false
4,19:39:18.581,target_decay,pistol,3.5s,5,1,0.2,25,250,0.1,false
5,19:39:28.415,target_decay,pistol,9.035s,11,1,0.091,25,550,0.045,false
6,19:39:30.211,target_decay,pistol,0.941s,2,1,0.5,25,100,0.25,false
7,19:39:33.690,target_decay,pistol,2.622s,4,1,0.25,25,200,0.125,false
8,19:39:34.518,target_decay,pistol,0s,1,1,1,25,50,0.5,false
9,19:39:37.141,target_decay,pistol,1.832s,3,1,0.333,25,150,0.167,false
10,19:39:37.921,target_decay,pistol,0s,1,1,1,25,50,0.5,false
11,19:39:39.645,target_decay,pistol,0.983s,3,1,0.333,25,150,0.167,false
12,19:39:48.650,target_decay,pistol,8.139s,10,1,0.1,25,500,0.05,false
13,19:39:50.418,target_decay,pistol,0.962s,2,1,0.5,25,100,0.25,false
14,19:40:00.325,target_decay,pistol,8.769s,11,1,0.091,25,550,0.045,false
15,19:40:02.066,target_decay,pistol,0.861s,2,1,0.5,25,100,0.25,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,70,15,375.0,3500.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,15
Deaths:,0
Fight Time:,46.605999
Avg TTK:,0
Damage Done:,375.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,321.428589
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,2.0.5.2
Challenge Start:,19:39:03.135
Pause Count:,39
Pause Duration:,205

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.0
Vert Sens:,7.0
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,222.095337
Resolution Scale,100.0
