Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:54:32.503,target_decay,pistol,3.517s,4,1,0.25,25,200,0.125,false
2,18:54:34.307,target_decay,pistol,0.877s,3,1,0.333,25,150,0.167,false
3,18:54:41.344,target_decay,pistol,6.278s,8,1,0.125,25,400,0.062,false
4,18:54:42.113,target_decay,pistol,0s,1,1,1,25,50,0.5,false
5,18:54:48.269,target_decay,pistol,5.364s,7,1,0.143,25,350,0.071,false
6,18:54:49.088,target_decay,pistol,0s,1,1,1,25,50,0.5,false
7,18:54:51.767,target_decay,pistol,1.871s,3,1,0.333,25,150,0.167,false
8,18:54:52.587,target_decay,pistol,0s,1,1,1,25,50,0.5,false
9,18:54:53.407,target_decay,pistol,0s,1,1,1,25,50,0.5,false
10,18:54:56.080,target_decay,pistol,1.851s,3,1,0.333,25,150,0.167,false
11,18:54:58.705,target_decay,pistol,1.767s,3,1,0.333,25,150,0.167,false
12,18:55:01.258,target_decay,pistol,1.712s,3,1,0.333,25,150,0.167,false
13,18:55:04.697,target_decay,pistol,2.587s,4,1,0.25,25,200,0.125,false
14,18:55:07.284,target_decay,pistol,1.761s,3,1,0.333,25,150,0.167,false
15,18:55:10.074,target_decay,pistol,2.023s,3,1,0.333,25,150,0.167,false
16,18:55:10.911,target_decay,pistol,0s,1,1,1,25,50,0.5,false
17,18:55:15.370,target_decay,pistol,3.68s,5,1,0.2,25,250,0.1,false
18,18:55:16.232,target_decay,pistol,0s,1,1,1,25,50,0.5,false
19,18:55:17.050,target_decay,pistol,0s,1,1,1,25,50,0.5,false
20,18:55:18.787,target_decay,pistol,0.924s,2,1,0.5,25,100,0.25,false
21,18:55:23.311,target_decay,pistol,3.703s,5,1,0.2,25,250,0.1,false
22,18:55:26.825,target_decay,pistol,2.681s,4,1,0.25,25,200,0.125,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,68,22,550.0,3400.0,,,,,,false,plus.png,1.0,FFFF00,,,

Kills:,22
Deaths:,0
Fight Time:,40.596001
Avg TTK:,0
Damage Done:,550.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,711.764709
Scenario:,Reflex Flick - Fair
Hash:,a51ec6c2d75ccb78bdb0d20bf4ce9cb7
Game Version:,v2.6.3
Challenge Start:,18:54:28.360
Pause Count:,8
Pause Duration:,2978

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,6.75
Vert Sens:,6.75
DPI:,400
FOV:,120.0
FOVScale:,Custom
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,299.373169
Resolution Scale,100.0
